name,overall,height_cm,weight_kg,Age,years_pro,position,APY,sport
Danielle Hunter,87,196,119,28,8.0,EDGE,24500000.0,NFL
Montez Sweat,82,198,119,26,4.0,EDGE,24500000.0,NFL
Nico Collins,72,193,98,24,2.0,WR,24250000.0,NFL
Alim McNeill,72,188,143,23,2.0,IDL,24250000.0,NFL
Jalen Ramsey,97,185,94,28,7.0,CB,24100000.0,NFL
Rashan Gary,88,196,126,25,4.0,EDGE,24000000.0,NFL
D.K. Metcalf,88,193,107,25,4.0,WR,24000000.0,NFL
Quinnen Williams,93,190,137,25,4.0,IDL,24000000.0,NFL
Derrick Brown,84,196,145,25,3.0,IDL,24000000.0,NFL
Patrick Surtain II,94,188,92,23,2.0,CB,24000000.0,NFL
Deebo Samuel,89,183,98,27,4.0,WR,23850000.0,NFL
Jeffery Simmons,89,193,138,26,4.0,IDL,23500000.0,NFL
Maxx Crosby,94,196,116,26,4.0,EDGE,23500000.0,NFL
Andrew Thomas,92,196,143,24,3.0,LT,23500000.0,NFL
Terry McLaurin,92,183,95,27,4.0,WR,23200000.0,NFL
DeForest Buckner,86,201,134,29,7.0,IDL,23000000.0,NFL
Calvin Ridley,85,185,86,28,5.0,WR,23000000.0,NFL
Stefon Diggs,96,183,87,29,8.0,WR,22520000.0,NFL
Bradley Chubb,79,193,125,27,5.0,EDGE,22000000.0,NFL
Jordan Mailata,87,203,166,26,5.0,LT,22000000.0,NFL
Tee Higgins,87,193,99,24,3.0,WR,21816000.0,NFL
Leonard Williams,82,196,137,29,8.0,IDL,21500000.0,NFL
Kenny Clark,86,190,142,27,7.0,IDL,21333333.0,NFL
Christian Barmore,75,196,141,24,2.0,IDL,21000000.0,NFL
Landon Dickerson,82,198,151,24,2.0,LG,21000000.0,NFL
Jaire Alexander,95,178,89,26,5.0,CB,21000000.0,NFL
Javon Hargrave,84,188,138,30,7.0,IDL,21000000.0,NFL
Trey Hendrickson,87,193,122,28,6.0,EDGE,21000000.0,NFL
Chris Lindstrom,93,190,139,26,4.0,RG,20500000.0,NFL
Garett Bolles,81,196,136,31,6.0,LT,20500000.0,NFL
Mike Evans,90,196,105,30,9.0,WR,20500000.0,NFL
Joey Bosa,91,196,127,28,7.0,EDGE,20180000.0,NFL
Denzel Ward,88,180,86,26,5.0,CB,20100000.0,NFL
Keenan Allen,89,188,96,31,10.0,WR,20025000.0,NFL
Dion Dawkins,81,196,145,29,6.0,LT,20020000.0,NFL
Amari Cooper,91,185,96,29,8.0,WR,20000000.0,NFL
Quenton Nelson,92,196,150,27,5.0,LG,20000000.0,NFL
Chris Godwin,86,185,94,27,6.0,WR,20000000.0,NFL
Lane Johnson,98,198,147,33,10.0,RT,20000000.0,NFL
Roquan Smith,92,185,105,26,5.0,LB,20000000.0,NFL
Taylor Decker,83,201,144,29,7.0,LT,20000000.0,NFL
Jawaan Taylor,78,196,142,25,4.0,RT,20000000.0,NFL
Robert Hunt,79,198,152,27,3.0,RG,20000000.0,NFL
Marlon Humphrey,93,183,93,27,6.0,CB,19500000.0,NFL
Trevon Diggs,87,188,88,25,3.0,CB,19400000.0,NFL
Marshon Lattimore,90,183,87,27,6.0,CB,19400000.0,NFL
Tyson Campbell,85,185,88,23,2.0,CB,19125000.0,NFL
L'Jarius Sneed,84,185,87,26,3.0,CB,19100000.0,NFL
Von Miller,94,190,113,34,12.0,EDGE,19088750.0,NFL
Fred Warner,96,190,104,26,5.0,LB,19045000.0,NFL
Khalil Mack,85,190,122,32,9.0,EDGE,19000000.0,NFL
Jonathan Greenard,73,190,119,26,3.0,EDGE,19000000.0,NFL
Jaylon Johnson,81,183,89,24,3.0,CB,19000000.0,NFL
Christian McCaffrey,96,180,93,27,6.0,RB,19000000.0,NFL
Tytus Howard,75,196,146,27,4.0,RT,18666667.0,NFL
Brian O'Neill,86,201,141,27,5.0,RT,18500000.0,NFL
Jake Matthews,82,196,140,31,9.0,LT,18500000.0,NFL
Zack Martin,99,193,143,32,9.0,RG,18425000.0,NFL
Diontae Johnson,82,178,83,27,4.0,WR,18355000.0,NFL
Minkah Fitzpatrick,93,185,94,26,5.0,S,18247000.0,NFL
Kolton Miller,87,203,147,27,5.0,LT,18005000.0,NFL
Creed Humphrey,90,193,137,25,2.0,C,18000000.0,NFL
Spencer Brown,71,203,141,25,2.0,RT,18000000.0,NFL
Budda Baker,90,178,88,27,6.0,S,18000000.0,NFL
Tremaine Edmunds,87,196,113,25,5.0,LB,18000000.0,NFL
Jonathan Allen,92,190,136,28,6.0,IDL,18000000.0,NFL
Christian Kirk,85,180,91,26,5.0,WR,18000000.0,NFL
Quinn Meinerz,78,190,145,24,2.0,RG,18000000.0,NFL
Deommodore Lenoir,75,178,91,23,2.0,CB,17960000.0,NFL
Vita Vea,88,193,157,28,5.0,IDL,17750000.0,NFL
Cam Robinson,78,198,152,27,6.0,LT,17583333.0,NFL
Mike McGlinchey,80,203,143,28,5.0,RT,17500000.0,NFL
Braden Smith,82,198,143,27,5.0,RT,17500000.0,NFL
Jerry Jeudy,83,185,88,24,3.0,WR,17500000.0,NFL
Dre'Mont Jones,77,190,127,26,4.0,IDL,17176667.0,NFL
Travis Kelce,99,196,113,33,10.0,TE,17125000.0,NFL
Bryce Huff,77,190,116,25,3.0,EDGE,17033333.0,NFL
Ed Oliver,81,185,130,25,4.0,IDL,17000000.0,NFL
Taylor Moton,84,196,147,29,6.0,RT,17000000.0,NFL
Jonah Jackson,76,193,138,26,3.0,LG,17000000.0,NFL
Alex Highsmith,82,193,110,26,3.0,EDGE,17000000.0,NFL
Elgton Jenkins,87,196,141,27,4.0,LG,17000000.0,NFL
Xavier McKinney,80,183,91,25,3.0,S,16750000.0,NFL
Terence Steele,79,198,141,26,3.0,RT,16500000.0,NFL
Grady Jarrett,86,183,138,30,8.0,IDL,16500000.0,NFL
T.J. Hockenson,90,196,112,26,4.0,TE,16500000.0,NFL
Jessie Bates III,91,185,91,26,5.0,S,16005000.0,NFL
Kevin Dotson,76,193,146,26,3.0,RG,16000000.0,NFL
Joe Thuney,89,196,138,30,7.0,LG,16000000.0,NFL
Joel Bitonio,92,193,145,31,9.0,LG,16000000.0,NFL
Zach Allen,79,196,129,26,4.0,IDL,15250000.0,NFL
Jonah Williams,75,196,142,25,4.0,LT,15000000.0,NFL
Uchenna Nwosu,79,188,114,26,5.0,EDGE,15000000.0,NFL
Jack Conklin,80,198,140,29,7.0,RT,15000000.0,NFL
Haason Reddick,90,185,109,28,6.0,EDGE,15000000.0,NFL
George Kittle,96,193,113,29,6.0,TE,15000000.0,NFL
Tyler Lockett,89,178,83,30,8.0,WR,15000000.0,NFL
Arik Armstead,82,201,132,29,8.0,EDGE,14500000.0,NFL
Kyle Dugger,86,188,100,27,3.0,S,14500000.0,NFL
Cameron Heyward,93,196,134,34,12.0,IDL,14500000.0,NFL
Ryan Ramczyk,89,198,142,29,6.0,RT,14500000.0,NFL
Dallas Goedert,89,196,116,28,5.0,TE,14250000.0,NFL
Dalvin Tomlinson,80,190,147,29,6.0,IDL,14250000.0,NFL
Wyatt Teller,86,193,143,28,5.0,RG,14200000.0,NFL
Matt Milano,88,183,101,29,6.0,LB,14165000.0,NFL
Marcus Williams,88,185,94,26,6.0,S,14000000.0,NFL
Jonathan Taylor,89,178,103,24,3.0,RB,14000000.0,NFL
Mark Andrews,95,196,112,27,5.0,TE,14000000.0,NFL
Evan Engram,84,190,109,28,6.0,TE,13750000.0,NFL
Courtland Sutton,82,193,98,27,5.0,WR,13750000.0,NFL
David Njoku,84,193,112,27,6.0,TE,13687500.0,NFL
Patrick Queen,80,183,108,24,3.0,LB,13666666.0,NFL
Jonathon Cooper,72,193,117,25,2.0,EDGE,13500000.0,NFL
Frank Ragnow,88,196,141,27,5.0,C,13500000.0,NFL
Walker Little,68,201,147,24,2.0,LT,13500000.0,NFL
Charvarius Ward,87,185,89,27,5.0,CB,13500000.0,NFL
Cameron Jordan,87,193,130,34,12.0,EDGE,13250000.0,NFL
Damien Lewis,77,188,148,26,3.0,LG,13250000.0,NFL
DeAndre Hopkins,93,185,96,31,10.0,WR,13000000.0,NFL
Darnell Mooney,81,178,78,25,3.0,WR,13000000.0,NFL
Grover Stewart,85,193,143,29,6.0,IDL,13000000.0,NFL
Jamel Dean,85,185,93,26,4.0,CB,13000000.0,NFL
Carl Granderson,73,196,118,26,4.0,EDGE,13000000.0,NFL
Chase Young,85,196,120,24,3.0,EDGE,13000000.0,NFL
Ben Powers,81,193,141,26,4.0,LG,13000000.0,NFL
Terron Armstead,91,196,138,32,10.0,LT,12876667.0,NFL
Saquon Barkley,93,183,105,26,5.0,RB,12583333.0,NFL
Preston Smith,76,196,120,30,8.0,EDGE,12500000.0,NFL
Cole Kmet,79,198,118,24,3.0,TE,12500000.0,NFL
Jeremiah Owusu-Koramoah,79,188,100,23,2.0,LB,12500000.0,NFL
Ryan Kelly,77,193,139,30,7.0,C,12412500.0,NFL
Sheldon Rankins,76,188,138,29,7.0,IDL,12250000.0,NFL
Alvin Kamara,86,178,98,28,6.0,RB,12250000.0,NFL
Pat Freiermuth,85,196,117,24,2.0,TE,12100000.0,NFL
Chidobe Awuzie,85,183,92,28,6.0,CB,12000000.0,NFL
Jalen Thompson,79,180,86,25,4.0,S,12000000.0,NFL
Dalton Schultz,82,196,111,27,5.0,TE,12000000.0,NFL
Josh Jacobs,95,178,100,25,4.0,RB,12000000.0,NFL
Austin Jackson,67,196,145,24,3.0,RT,12000000.0,NFL
Erik McCoy,79,193,137,26,4.0,C,12000000.0,NFL
Grant Delpit,78,190,94,24,3.0,S,12000000.0,NFL
David Onyemata,75,190,136,30,7.0,IDL,11666667.0,NFL
Maliek Collins,74,188,141,28,7.0,IDL,11500000.0,NFL
Za'Darius Smith,85,193,125,30,8.0,EDGE,11500000.0,NFL
Kaleb McGary,78,198,139,28,4.0,RT,11500000.0,NFL
Rob Havenstein,82,203,150,31,8.0,RT,11500000.0,NFL
Azeez Al-Shaair,77,188,103,26,4.0,LB,11333333.0,NFL
Cesar Ruiz,75,193,143,24,3.0,RG,11000000.0,NFL
Allen Lazard,78,196,103,27,5.0,WR,11000000.0,NFL
D.J. Reader,87,190,152,29,7.0,IDL,11000000.0,NFL
Jakobi Meyers,81,188,91,26,4.0,WR,11000000.0,NFL
Julian Love,80,180,88,25,4.0,S,11000000.0,NFL
Justin Reid,81,185,98,26,5.0,S,10500000.0,NFL
Noah Fant,78,193,113,25,4.0,TE,10500000.0,NFL
Zaire Franklin,73,183,107,27,5.0,LB,10420000.0,NFL
Frankie Luvu,80,190,107,26,5.0,EDGE,10333333.0,NFL
Zach Sieler,79,198,138,27,5.0,IDL,10250000.0,NFL
Michael Carter II,75,178,83,24,2.0,CB,10250000.0,NFL
Taron Johnson,83,180,87,27,5.0,CB,10250000.0,NFL
Justin Jones,74,190,140,27,5.0,IDL,10055000.0,NFL
Denico Autry,81,196,129,33,9.0,EDGE,10000000.0,NFL
Sam Hubbard,78,196,120,28,5.0,EDGE,10000000.0,NFL
Tyler Biadasz,74,190,143,25,3.0,C,10000000.0,NFL
Josh Sweat,84,196,120,26,5.0,EDGE,10000000.0,NFL
Leonard Floyd,78,196,109,30,7.0,EDGE,10000000.0,NFL
Sam Darnold,71,190,102,26,5.0,QB,10000000.0,NFL
Taysom Hill,73,188,100,33,6.0,TE,10000000.0,NFL
B.J. Hill,80,190,141,27,5.0,IDL,10000000.0,NFL
Brandin Cooks,83,178,86,29,9.0,WR,10000000.0,NFL
Bobby Okereke,81,185,107,27,4.0,LB,10000000.0,NFL
Mike Williams,88,193,99,28,6.0,WR,10000000.0,NFL
D.J. Jones,78,183,138,28,6.0,IDL,10000000.0,NFL
Foyesade Oluokun,84,188,104,28,5.0,LB,10000000.0,NFL
Andrew Van Ginkel,76,193,110,28,4.0,EDGE,10000000.0,NFL
Brandon Scherff,83,196,143,31,8.0,RG,10000000.0,NFL
Amani Hooker,79,180,95,25,4.0,S,10000000.0,NFL
Joe Mixon,87,185,100,27,6.0,RB,9875000.0,NFL
Dawson Knox,83,193,115,26,4.0,TE,9833333.0,NFL
Larry Ogunjobi,74,190,138,29,6.0,IDL,9583333.0,NFL
Jonathan Jones,83,178,86,29,7.0,CB,9500000.0,NFL
James Conner,77,185,106,28,6.0,RB,9500000.0,NFL
Bryce Young,74,178,93,22,0.0,QB,9488769.0,NFL
Travon Walker,78,196,123,22,1.0,EDGE,9343156.0,NFL
David Montgomery,82,178,101,26,4.0,RB,9125000.0,NFL
C.J. Stroud,73,190,99,21,0.0,QB,9069812.0,NFL
Yetur Gross-Matos,72,196,120,25,3.0,EDGE,9000000.0,NFL
Logan Wilson,84,188,111,27,3.0,LB,9000000.0,NFL
Hunter Henry,81,196,113,28,7.0,TE,9000000.0,NFL
Rhamondre Stevenson,80,183,104,25,2.0,RB,9000000.0,NFL
Harrison Smith,90,188,96,34,11.0,S,9000000.0,NFL
Davon Godchaux,75,190,141,28,6.0,IDL,9000000.0,NFL
Aidan Hutchinson,81,198,120,23,1.0,EDGE,8928847.0,NFL
James Daniels,80,193,148,25,5.0,RG,8833333.0,NFL
Will Anderson Jr.,78,193,110,21,0.0,EDGE,8803205.0,NFL
Zach Wilson,69,188,97,24,2.0,QB,8787695.0,NFL
Austin Corbett,80,193,138,27,5.0,RG,8750000.0,NFL
Alex Cappa,80,198,141,28,5.0,RG,8750000.0,NFL
Jordyn Brooks,80,183,109,25,3.0,LB,8750000.0,NFL
Demario Davis,90,188,112,34,11.0,LB,8625000.0,NFL
C.J. Mosley,85,188,105,31,9.0,LB,8625000.0,NFL
Trey Lance,71,193,102,23,2.0,QB,8526315.0,NFL
Lavonte David,91,185,106,33,11.0,LB,8500000.0,NFL
Sean Murphy-Bunting,78,183,88,26,4.0,CB,8500000.0,NFL
Tyler Higbee,80,198,116,30,7.0,TE,8500000.0,NFL
Anthony Richardson,70,193,111,22,0.0,QB,8498508.0,NFL
Adam Thielen,83,188,88,33,10.0,WR,8333333.0,NFL
Jabrill Peppers,83,180,98,27,6.0,S,8333333.0,NFL
Chuba Hubbard,75,185,95,24,2.0,RB,8300000.0,NFL
Kyle Pitts,87,198,112,22,2.0,TE,8227624.0,NFL
Dre Greenlaw,86,183,104,26,4.0,LB,8200000.0,NFL
Ezra Cleveland,74,198,142,25,3.0,LG,8000000.0,NFL
Isaac Seumalo,78,193,137,29,7.0,LG,8000000.0,NFL
Curtis Samuel,82,180,88,27,6.0,WR,8000000.0,NFL
Andre James,72,193,136,26,4.0,C,8000000.0,NFL
Charles Omenihu,76,196,127,26,4.0,EDGE,8000000.0,NFL
DaQuan Jones,76,193,145,31,9.0,IDL,8000000.0,NFL
D'Andre Swift,81,175,98,24,3.0,RB,8000000.0,NFL
Mike Danna,74,188,117,25,3.0,EDGE,8000000.0,NFL
Jacoby Brissett,72,193,107,30,7.0,QB,8000000.0,NFL
Andrew Wylie,73,198,140,29,6.0,RT,8000000.0,NFL
Samson Ebukam,76,190,109,28,6.0,EDGE,8000000.0,NFL
Derrick Henry,94,190,112,29,7.0,RB,8000000.0,NFL
Devon Witherspoon,78,183,82,22,0.0,CB,7965288.0,NFL
Kayvon Thibodeaux,80,196,117,22,1.0,EDGE,7834760.0,NFL
Ja'Marr Chase,94,183,91,23,2.0,WR,7704911.0,NFL
Robert Woods,77,183,88,31,10.0,WR,7625000.0,NFL
Blake Cashman,69,185,108,27,4.0,LB,7500000.0,NFL
A'Shawn Robinson,74,190,145,28,7.0,IDL,7500000.0,NFL
Pete Werner,77,190,110,25,2.0,LB,7500000.0,NFL
Kevin Byard,92,180,96,30,7.0,S,7500000.0,NFL
Ronnie Stanley,90,198,143,29,7.0,LT,7500000.0,NFL
Kendall Fuller,87,180,90,28,7.0,CB,7500000.0,NFL
Justin Simmons,92,188,92,29,7.0,S,7500000.0,NFL
John Franklin-Myers,83,193,131,26,5.0,EDGE,7500000.0,NFL
Harrison Phillips,79,190,139,27,5.0,IDL,7500000.0,NFL
Colby Parkinson,70,201,114,24,3.0,TE,7500000.0,NFL
Darious Williams,79,175,85,30,5.0,CB,7500000.0,NFL
Connor McGovern,74,196,144,25,4.0,LG,7450000.0,NFL
Tony Pollard,88,183,95,26,4.0,RB,7250000.0,NFL
Javon Kinlaw,70,196,145,25,3.0,IDL,7250000.0,NFL
Roy Robertson-Harris,72,196,132,30,7.0,IDL,7200000.0,NFL
Kaden Elliss,73,188,108,28,4.0,LB,7166667.0,NFL
Paris Johnson Jr.,77,198,142,22,0.0,RT,7013115.0,NFL
Aaron Brewer,68,185,124,25,3.0,C,7000000.0,NFL
Jermaine Eluemunor,74,193,156,28,6.0,LT,7000000.0,NFL
Marquise Brown,84,175,82,26,4.0,WR,7000000.0,NFL
Aaron Jones,88,175,94,28,6.0,RB,7000000.0,NFL
Stephon Gilmore,91,183,86,32,11.0,CB,7000000.0,NFL
Raekwon Davis,71,201,152,26,3.0,IDL,7000000.0,NFL
Donovan Wilson,81,183,93,28,4.0,S,7000000.0,NFL
Arden Key,74,196,109,27,5.0,EDGE,7000000.0,NFL
Juan Thornhill,78,183,93,27,4.0,S,7000000.0,NFL
DeMarcus Walker,72,193,127,28,6.0,IDL,7000000.0,NFL
Bilal Nichols,73,193,132,26,5.0,IDL,7000000.0,NFL
Zaven Collins,76,193,118,24,2.0,LB,7000000.0,NFL
Malik Hooker,82,188,96,27,6.0,S,7000000.0,NFL
Josh Oliver,72,196,117,26,4.0,TE,7000000.0,NFL
Jerome Baker,80,188,102,26,5.0,LB,7000000.0,NFL
Geno Stone,72,178,95,24,3.0,S,7000000.0,NFL
Rasul Douglas,81,188,95,28,6.0,CB,7000000.0,NFL
Ikem Ekwonu,79,193,145,22,1.0,LT,6892013.0,NFL
Tyrann Mathieu,91,175,86,31,10.0,S,6875000.0,NFL
Germaine Pratt,78,188,113,27,4.0,LB,6750000.0,NFL
Tyler Conklin,78,190,115,28,5.0,TE,6750000.0,NFL
Ja'Whaun Bentley,84,188,111,27,5.0,LB,6750000.0,NFL
Joseph Noteboom,72,196,146,28,5.0,LT,6750000.0,NFL
Brandon Jones,76,185,87,25,3.0,S,6666667.0,NFL
Graham Glasgow,74,198,141,31,7.0,RG,6666667.0,NFL
Marcus Davenport,76,198,120,26,5.0,EDGE,6500000.0,NFL
Tyron Smith,89,196,145,32,12.0,LT,6500000.0,NFL
David Andrews,83,190,136,31,8.0,C,6500000.0,NFL
T.J. Edwards,82,185,110,27,4.0,LB,6500000.0,NFL
Shy Tuttle,70,190,136,27,4.0,IDL,6500000.0,NFL
Bobby Wagner,89,183,110,33,11.0,LB,6500000.0,NFL
Kendrick Bourne,78,185,86,28,6.0,WR,6500000.0,NFL
Rashod Bateman,79,185,89,23,2.0,WR,6435949.0,NFL
Harrison Butker,78,193,90,28,6.0,K,6400000.0,NFL
Miles Sanders,86,180,95,26,4.0,RB,6350000.0,NFL
Drue Tranquill,76,188,103,28,4.0,LB,6333333.0,NFL
Ogbonnia Okoronkwo,78,188,113,28,5.0,EDGE,6333333.0,NFL
Tyree Wilson,75,198,123,23,0.0,EDGE,6251375.0,NFL
Josey Jewell,80,188,107,28,5.0,LB,6250000.0,NFL
Alex Anzalone,73,190,109,28,6.0,LB,6250000.0,NFL
D.J. Wonnum,72,196,117,25,3.0,EDGE,6250000.0,NFL
Darius Slayton,77,185,88,26,4.0,WR,6200000.0,NFL
Evan Neal,73,201,159,22,1.0,RT,6137814.0,NFL
Juwan Johnson,75,193,105,26,3.0,TE,6005000.0,NFL
Donte Jackson,80,178,82,27,5.0,CB,6000000.0,NFL
Ethan Pocic,78,198,145,28,6.0,C,6000000.0,NFL
Justin Tucker,91,185,83,33,11.0,K,6000000.0,NFL
Marcus Epps,77,185,87,27,4.0,S,6000000.0,NFL
Quincy Williams,71,180,102,27,4.0,LB,6000000.0,NFL
Jake Elliott,81,175,76,28,6.0,K,6000000.0,NFL
Rayshawn Jenkins,76,185,91,29,6.0,S,6000000.0,NFL
A.J. Epenesa,73,198,118,24,3.0,EDGE,6000000.0,NFL
Gerald Everett,82,190,113,29,6.0,TE,6000000.0,NFL
Ted Karras,80,193,141,30,7.0,C,6000000.0,NFL
Tyquan Lewis,72,190,126,28,5.0,EDGE,6000000.0,NFL
Alex Singleton,79,188,109,29,5.0,LB,6000000.0,NFL
Keisean Nixon,68,178,91,26,4.0,CB,6000000.0,NFL
Cole Holcomb,80,185,109,27,4.0,LB,6000000.0,NFL
Hjalte Froholdt,65,196,141,27,4.0,C,6000000.0,NFL
Noah Gray,69,190,109,24,2.0,TE,6000000.0,NFL
Mike Hilton,82,175,83,29,7.0,CB,6000000.0,NFL
Marcus Mariota,69,193,101,29,8.0,QB,6000000.0,NFL
Tyrod Taylor,66,185,98,34,12.0,QB,6000000.0,NFL
John Simpson,66,193,147,26,3.0,LG,6000000.0,NFL
Kevin Zeitler,85,193,154,33,11.0,RG,6000000.0,NFL
Jauan Jennings,74,190,96,26,3.0,WR,5945000.0,NFL
Colton McKivitz,64,198,137,27,3.0,RT,5850000.0,NFL
Mo Alie-Cox,73,196,121,29,5.0,TE,5850000.0,NFL
Matt Gay,80,183,105,29,4.0,K,5625000.0,NFL
Cameron Dicker,73,185,98,23,1.0,K,5501000.0,NFL
Graham Gano,83,188,92,36,14.0,K,5500000.0,NFL
Evan McPherson,79,180,84,24,2.0,K,5500000.0,NFL
Devin Singletary,80,170,92,25,4.0,RB,5500000.0,NFL
Bijan Robinson,81,180,98,21,0.0,RB,5489636.0,NFL
Jalen Carter,79,190,142,22,0.0,IDL,5451546.0,NFL
Drake London,80,193,97,22,1.0,WR,5383618.0,NFL
Charles Cross,77,196,141,22,1.0,LT,5345907.0,NFL
Jahlani Tavai,77,188,112,26,4.0,LB,5333333.0,NFL
Nick Allegretti,63,193,141,27,4.0,LG,5333333.0,NFL
Dustin Hopkins,72,188,88,32,10.0,K,5300000.0,NFL
Ka'imi Fairbairn,79,183,83,29,7.0,K,5300000.0,NFL
Jaycee Horn,83,185,91,23,2.0,CB,5278037.0,NFL
Jason Myers,80,178,86,32,8.0,K,5275000.0,NFL
Mitch Morse,79,198,138,31,8.0,C,5250000.0,NFL
Kalif Raymond,75,173,83,29,6.0,WR,5250000.0,NFL
Garrett Bradbury,76,190,136,28,4.0,C,5250000.0,NFL
Darnell Wright,74,198,152,22,0.0,RT,5242068.0,NFL
Patrick Mekari,72,193,138,26,4.0,LT,5150000.0,NFL
Garrett Wilson,84,183,87,23,1.0,WR,5138502.0,NFL
Folorunso Fatukasi,73,193,144,28,5.0,IDL,5125000.0,NFL
Tyler Bass,79,178,83,26,3.0,K,5100000.0,NFL
Alohi Gilman,71,178,91,25,3.0,S,5062500.0,NFL
Nathan Shepherd,72,193,143,29,5.0,IDL,5000000.0,NFL
Isaiah Simmons,81,193,108,25,3.0,LB,5000000.0,NFL
D.J. Humphries,79,196,139,29,8.0,LT,5000000.0,NFL
Anthony Nelson,69,201,123,26,4.0,EDGE,5000000.0,NFL
Chris Boswell,77,188,84,32,9.0,K,5000000.0,NFL
Drew Lock,64,193,103,26,4.0,QB,5000000.0,NFL
Andy Dalton,72,188,100,35,12.0,QB,5000000.0,NFL
Jarrett Stidham,62,190,98,27,4.0,QB,5000000.0,NFL
Morgan Moses,79,198,145,32,9.0,RT,5000000.0,NFL
Kyzir White,75,188,106,27,5.0,LB,5000000.0,NFL
De'Vondre Campbell,85,193,105,30,7.0,LB,5000000.0,NFL
Xavier Woods,78,180,91,28,6.0,S,5000000.0,NFL
Peter Skoronski,76,193,142,22,0.0,LG,4918330.0,NFL
Younghoe Koo,80,175,84,29,6.0,K,4850000.0,NFL
Chris Olave,84,183,85,23,1.0,WR,4817968.0,NFL
Trent Brown,83,203,168,30,8.0,RT,4750000.0,NFL
Jeff Okudah,77,185,92,24,3.0,CB,4750000.0,NFL
Justin Fields,76,190,103,24,2.0,QB,4717988.0,NFL
Will Dissly,77,193,120,27,5.0,TE,4666666.0,NFL
Amik Robertson,72,173,85,25,3.0,CB,4625000.0,NFL
Daniel Carlson,83,196,98,28,5.0,K,4600000.0,NFL
Shaquill Griffin,79,183,90,28,6.0,CB,4550000.0,NFL
Kyle Juszczyk,87,188,107,32,10.0,FB,4550000.0,NFL
Jimmie Ward,87,180,88,32,9.0,S,4500000.0,NFL
Jordan Whitehead,79,178,90,26,5.0,S,4500000.0,NFL
Jarran Reed,74,190,139,29,7.0,IDL,4500000.0,NFL
Lorenzo Carter,77,196,114,27,5.0,EDGE,4500000.0,NFL
Kamren Curl,83,188,90,24,3.0,S,4500000.0,NFL
Will Hernandez,76,188,151,27,5.0,RG,4500000.0,NFL
Josh Reynolds,75,190,89,28,6.0,WR,4500000.0,NFL
Jahmyr Gibbs,77,175,90,21,0.0,RB,4461285.0,NFL
Jason Sanders,72,180,86,27,5.0,K,4400000.0,NFL
Jameson Williams,79,188,86,22,1.0,WR,4365448.0,NFL
Lukas Van Ness,73,196,123,22,0.0,EDGE,4347024.0,NFL
